tokenID,name,description,file_name,external_url,attributes[Background],attributes[Name],attributes[Material]
1,item1,This is the sample nft.,1.png,https://example.com/?Background=WackyLime&Name=Sofa&Material=Yellow,WackyLime,Sofa,Yellow
2,item2,This is the sample nft.,2.png,https://example.com/?Background=WackyCandy&Name=Ricky&Material=Purple,WackyCandy,Ricky,Purple
3,item3,This is the sample nft.,3.png,https://example.com/?Background=TieDyeNight&Name=Chip_low&Material=Blue,TieDyeNight,Chip_low,Blue
4,item4,This is the sample nft.,4.png,https://example.com/?Background=WackyLime&Name=Ricky&Material=Blue,WackyLime,Ricky,Blue
5,item5,This is the sample nft.,5.png,https://example.com/?Background=Blue&Name=KingStronk&Material=Glow,Blue,KingStronk,Glow
6,item6,This is the sample nft.,6.png,https://example.com/?Background=WackyDeepPurp&Name=KingStronk&Material=Black,WackyDeepPurp,KingStronk,Black
7,item7,This is the sample nft.,7.png,https://example.com/?Background=WackyYellowOrange&Name=Sofa_low&Material=Purple,WackyYellowOrange,Sofa_low,Purple
8,item8,This is the sample nft.,8.png,https://example.com/?Background=Ash&Name=Sofa_low&Material=Blue,Ash,Sofa_low,Blue
9,item9,This is the sample nft.,9.png,https://example.com/?Background=WackyDeepPurp&Name=Ricky&Material=Silver,WackyDeepPurp,Ricky,Silver
10,item10,This is the sample nft.,10.png,https://example.com/?Background=WackyDeepPurp&Name=KingStronk_low&Material=Yellow,WackyDeepPurp,KingStronk_low,Yellow
11,item11,This is the sample nft.,11.png,https://example.com/?Background=BubbleGum&Name=Sofa&Material=Original,BubbleGum,Sofa,Original
12,item12,This is the sample nft.,12.png,https://example.com/?Background=WackySky&Name=Ricky&Material=Rainbow,WackySky,Ricky,Rainbow
13,item13,This is the sample nft.,13.png,https://example.com/?Background=Grey&Name=Sofa_low&Material=Yellow,Grey,Sofa_low,Yellow
14,item14,This is the sample nft.,14.png,https://example.com/?Background=WackyGrey&Name=KingStronk&Material=Red,WackyGrey,KingStronk,Red
15,item15,This is the sample nft.,15.png,https://example.com/?Background=Toxic&Name=Sofa&Material=Gold,Toxic,Sofa,Gold
16,item16,This is the sample nft.,16.png,https://example.com/?Background=WackyToxic&Name=Sunshine&Material=Yellow,WackyToxic,Sunshine,Yellow
17,item17,This is the sample nft.,17.png,https://example.com/?Background=Green&Name=KingStronk_low&Material=Purple,Green,KingStronk_low,Purple
18,item18,This is the sample nft.,18.png,https://example.com/?Background=WackyYellowOrange&Name=Chip&Material=Black,WackyYellowOrange,Chip,Black
19,item19,This is the sample nft.,19.png,https://example.com/?Background=Green&Name=Chip&Material=Rainbow,Green,Chip,Rainbow
20,item20,This is the sample nft.,20.png,https://example.com/?Background=TieDyeBlack&Name=Chip&Material=Blue,TieDyeBlack,Chip,Blue
21,item21,This is the sample nft.,21.png,https://example.com/?Background=Grey&Name=Sofa&Material=Orange,Grey,Sofa,Orange
22,item22,This is the sample nft.,22.png,https://example.com/?Background=WackyBlueYellow&Name=Sofa&Material=Red,WackyBlueYellow,Sofa,Red
23,item23,This is the sample nft.,23.png,https://example.com/?Background=WackyBlueYellow&Name=Sofa&Material=Green,WackyBlueYellow,Sofa,Green
24,item24,This is the sample nft.,24.png,https://example.com/?Background=TieDye&Name=Chip_low&Material=Green,TieDye,Chip_low,Green
25,item25,This is the sample nft.,25.png,https://example.com/?Background=Sky&Name=KingStronk&Material=Blue,Sky,KingStronk,Blue
26,item26,This is the sample nft.,26.png,https://example.com/?Background=WackyLime&Name=Ricky&Material=Pink,WackyLime,Ricky,Pink
27,item27,This is the sample nft.,27.png,https://example.com/?Background=WackySpiralSky&Name=Sunshine&Material=Pink,WackySpiralSky,Sunshine,Pink
28,item28,This is the sample nft.,28.png,https://example.com/?Background=Pink&Name=KingStronk&Material=Black,Pink,KingStronk,Black
29,item29,This is the sample nft.,29.png,https://example.com/?Background=TieDyeBlack&Name=Sunshine&Material=Orange,TieDyeBlack,Sunshine,Orange
30,item30,This is the sample nft.,30.png,https://example.com/?Background=Blue&Name=KingStronk_low&Material=Black,Blue,KingStronk_low,Black
31,item31,This is the sample nft.,31.png,https://example.com/?Background=WackyBlue&Name=Sofa&Material=Green,WackyBlue,Sofa,Green
32,item32,This is the sample nft.,32.png,https://example.com/?Background=DeepPurple&Name=Kingfrog_low&Material=Red,DeepPurple,Kingfrog_low,Red
33,item33,This is the sample nft.,33.png,https://example.com/?Background=WackyBlueYellow&Name=Sofa&Material=Bronze,WackyBlueYellow,Sofa,Bronze
34,item34,This is the sample nft.,34.png,https://example.com/?Background=WackyBlue&Name=KingStronk&Material=Orange,WackyBlue,KingStronk,Orange
35,item35,This is the sample nft.,35.png,https://example.com/?Background=WackyToxic&Name=Sofa_low&Material=Red,WackyToxic,Sofa_low,Red
36,item36,This is the sample nft.,36.png,https://example.com/?Background=WackyPinkPurp&Name=Sunshine&Material=Rainbow,WackyPinkPurp,Sunshine,Rainbow
37,item37,This is the sample nft.,37.png,https://example.com/?Background=WackyTieDye&Name=Chip&Material=Pink,WackyTieDye,Chip,Pink
38,item38,This is the sample nft.,38.png,https://example.com/?Background=BubbleGum&Name=Chip&Material=Blue,BubbleGum,Chip,Blue
39,item39,This is the sample nft.,39.png,https://example.com/?Background=WackyTieDye&Name=Kingfrog_low&Material=Rainbow2,WackyTieDye,Kingfrog_low,Rainbow2
40,item40,This is the sample nft.,40.png,https://example.com/?Background=WackyPurpVortex&Name=Sunshine&Material=Blue,WackyPurpVortex,Sunshine,Blue
41,item41,This is the sample nft.,41.png,https://example.com/?Background=WackyHorizonBlack&Name=Chip&Material=Purple,WackyHorizonBlack,Chip,Purple
42,item42,This is the sample nft.,42.png,https://example.com/?Background=WackyCandy&Name=Sunshine_low&Material=Glow,WackyCandy,Sunshine_low,Glow
43,item43,This is the sample nft.,43.png,https://example.com/?Background=DeepBlack&Name=KingStronk_low&Material=Red,DeepBlack,KingStronk_low,Red
44,item44,This is the sample nft.,44.png,https://example.com/?Background=WackySpiralBlack&Name=Ricky_low&Material=Red,WackySpiralBlack,Ricky_low,Red
45,item45,This is the sample nft.,45.png,https://example.com/?Background=WackyLime&Name=Chip&Material=Silver,WackyLime,Chip,Silver
46,item46,This is the sample nft.,46.png,https://example.com/?Background=WackyPurp&Name=Sunshine&Material=Purple,WackyPurp,Sunshine,Purple
47,item47,This is the sample nft.,47.png,https://example.com/?Background=WackyYellowOrangeSpiral&Name=Chip&Material=Orange,WackyYellowOrangeSpiral,Chip,Orange
48,item48,This is the sample nft.,48.png,https://example.com/?Background=DeepPurple&Name=Sunshine&Material=Purple,DeepPurple,Sunshine,Purple
49,item49,This is the sample nft.,49.png,https://example.com/?Background=DeepBlack&Name=Ricky&Material=Blue,DeepBlack,Ricky,Blue
50,item50,This is the sample nft.,50.png,https://example.com/?Background=Candy&Name=Sofa&Material=Pink,Candy,Sofa,Pink
51,item51,This is the sample nft.,51.png,https://example.com/?Background=BubbleGum&Name=Sunshine_low&Material=Purple,BubbleGum,Sunshine_low,Purple
52,item52,This is the sample nft.,52.png,https://example.com/?Background=WackySky&Name=KingStronk_low&Material=Purple,WackySky,KingStronk_low,Purple
53,item53,This is the sample nft.,53.png,https://example.com/?Background=TieDyeNight&Name=Ricky_low&Material=Red,TieDyeNight,Ricky_low,Red
54,item54,This is the sample nft.,54.png,https://example.com/?Background=Sunset&Name=KingStronk_low&Material=Pink,Sunset,KingStronk_low,Pink
55,item55,This is the sample nft.,55.png,https://example.com/?Background=Toxic&Name=Chip_low&Material=Pink,Toxic,Chip_low,Pink
